ProductID,ProductName,Category,StockLevel,RestockingFrequency,LastRestocked
1,Mountain-X100,Mountain Bike,50,30 d,2023-03-30
2,Roadster-200,Road Bike,75,45 days,2023-03-20
3,Touring-T50,Touring Bike,25,60 days,2023-03-10
4,,Commuter Bike,35,30 d,2023-15-01
5,Kidz-K50,Kid's Bike,20,45 days,2023-04-02
6,Trail-T200,Trail Bike,15,60 days,2023-04-03
7,Mountain-X200,,45,30 days,2023-04-04
8,Roadster-300,Road Bike,90,45 days,2023-04-05
9,Touring-T100,Touring Bike,20,60 days,2023-04-06
10,Commuter-C300,Commuter Bike,40,30 days,2023-04-07
11,Kidz-K100,Kid's Bike,30,45 days,2023-04-08
12,Trail-T300,Trail Bike,10,60 days,2023-04-09
13,Mountain-X300,Mountain Bike,55,30 days,2023-04-10
14,Roadster-400,Road Bike,110,45 days,2023-04-11
15,Touring-T200,,30,60 days,2023-04-12
16,Commuter-C400,Commuter Bike,25,30 days,2023-04-13
17,Kidz-K150,Kid's Bike,25,45 days,2023-04-14
18,Trail-T400,Trail Bike,5,60 days,2023-04-15
19,Mountain-X400,Mountain Bike,60,30 days,2023-04-16
20,Roadster-500,Road Bike,130,45 days,2023-04-17
21,Touring-T300,Touring Bike,40,60 days,2023-04-18
22,Commuter-C500,Commuter Bike,30,30 days,2023-04-19
23,Kidz-K200,Kid's Bike,15,45 days,2023-04-20
24,Trail-T500,Trail Bike,5,60 days,2023-04-21
25,Mountain-X500,Mountain Bike,70,30 days,2023-04-22
26,Roadster-600,Road Bike,150,45 days,2023-04-23
27,Touring-T400,Touring Bike,45,60 days,2023-04-24
28,Commuter-C600,Commuter Bike,20,30 days,2023-04-25
29,Kidz-K250,Kid's Bike,20,45 days,2023-04-26
30,Trail-T600,Trail Bike,10,60 days,2023-04-27
31,Mountain-X600,Mountain Bike,80,30 days,2023-04-28
32,Roadster-700,Road Bike,200,45 days,2023-04-29
33,Touring-T500,Touring Bike,50,60 days,2023-04-30
34,Commuter-C700,Commuter Bike,15,30 days,2023-05-01
35,Kidz-K300,Kid's Bike,25,45 days,2023-05-02
36,Trail-T700,Trail Bike,5,60 days,2023-05-03
37,Mountain-X700,Mountain Bike,90,30 days,2023-05-04
38,Roadster-800,Road Bike,250,45 days,2023-05-05
39,Touring-T600,Touring Bike,60,60 days,2023-05-06
40,Commuter-C800,Commuter Bike,10,30 days,2023-05-07
41,Kidz-K350,Kid's Bike,15,45 days,2023-05-08
42,Trail-T800,Trail Bike,5,60 days,2023-05-09
43,Mountain-X800,Mountain Bike,100,30 days,2023-05-10
44,Roadster-900,Road Bike,300,45 days,2023-05-11
45,Touring-T700,Touring Bike,70,60 days,2023-05-12
46,Commuter-C900,Commuter Bike,5,30 days,2023-05-13
47,Kidz-K400,Kid's Bike,10,45 days,2023-05-14
48,Trail-T900,Trail Bike,5,60 days,2023-05-15
49,Mountain-X900,Mountain Bike,120,30 days,2023-05-16
50,Roadster-1000,Road Bike,350,45 days,2023-05-17
51,Touring-T800,Touring Bike,80,60 days,2023-05-18
52,Commuter-C1000,Commuter Bike,2,30 days,2023-05-19
